time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-25 00:00:00+00:00,585,61,16,9
2026-08-26 00:00:00+00:00,630,64,35,9
2026-08-27 00:00:00+00:00,208,42,28,13
2026-08-28 00:00:00+00:00,707,74,11,6
2026-08-29 00:00:00+00:00,227,43,12,10
2026-08-30 00:00:00+00:00,573,62,18,11
2026-08-31 00:00:00+00:00,715,265,22,11
2026-09-01 00:00:00+00:00,213,41,32,15
2026-09-02 00:00:00+00:00,107,28,14,7
2026-09-03 00:00:00+00:00,69,31,9,7
2026-09-04 00:00:00+00:00,114,36,4,3
2026-09-05 00:00:00+00:00,79,37,10,8
2026-09-06 00:00:00+00:00,62,24,4,4
2026-09-07 00:00:00+00:00,65,28,12,8
