time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-08-31 00:00:00+00:00,715,265,22,11
2026-09-01 00:00:00+00:00,213,41,32,15
2026-09-02 00:00:00+00:00,107,28,14,7
2026-09-03 00:00:00+00:00,69,31,9,7
2026-09-04 00:00:00+00:00,114,36,4,3
2026-09-05 00:00:00+00:00,79,37,10,8
2026-09-06 00:00:00+00:00,62,24,4,4
2026-09-07 00:00:00+00:00,65,28,12,8
2026-09-08 00:00:00+00:00,46,21,11,7
2026-09-09 00:00:00+00:00,88,24,2,2
2026-09-10 00:00:00+00:00,43,27,39,12
2026-09-11 00:00:00+00:00,35,15,8,8
2026-09-12 00:00:00+00:00,30,19,12,10
2026-09-13 00:00:00+00:00,42,18,9,5
